#Identifiant_A;Identifiant_R;Libellé_du_site;Caractéristique_du_site;Site_Acores_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;Changeur_de_monnaie;Distributeur_de_billets;Distributeur_Prêt_à_Poster;Affranchissement_Libre_Service;Dépôt_de_Chèque;Photocopieurs;Accessibilité_Automate_d_affranchissement_avec_prise_audio;Accessibilté_Distributeur_de_billets_avec_prise_audio;Accessibilité_Présence_d_un_panneau_prioritaire;Accessibilité_Borne_sonore_en_état_de_fonctionnement;Accessibilité_Espace_de_circulation_intérieur_suffisant_pour_PMR;Accessibilité_Présence_d_un_espace_confidentiel_accessible_PMR;Accessibilité_Présence_d_un_GAB_externe_accessible_PMR;Accessibilité_Présence_d_un_guichet_surbaissé_ou_d_un_écritoire;Accessibilité_Présence_d_une_bande_de_guidage_au_sol;Accessibilité_Amplificateur_de_son_pour_malentendant;Accessibilité_Escalier_ou_dénivelé_accessible_au_malvoyant;Accessibilité_Pick_up_accessible_PMR;Accessibilité_Accessibilité_externe_déclarée_conforme_par_propriétaire;Accessibilité_Accessible_aux_personnes_handicapées_moteur;Accessibilité_Accessibilité_interne_déclarée_conforme_par_propriétaire;Accessibilité_Accueil_en_langue_des_signes
14648A;770220;BARBIZON BP;Bureau de Poste;;20 GRANDE RUE; ; ;77630;BARBIZON;77022;FRANCE;48.443987;2.6094;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14649A;770250;BAZOCHES LES BRAY AP;Agence postale communale;14771A;1 PLACE DE L EGLISE;BAZOCHES LES BRAY;;77118;BAZOCHES LES BRAY;77025;FRANCE;48.398595;3.188357;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14650A;770270;BEAUMONT DU GATINAIS BP;Bureau de Poste;;PLACE DE L EGLISE;;;77890;BEAUMONT DU GATINAIS;77027;FRANCE;48.135990027;2.4743457793;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14651A;770300;BELLOT AP;Agence postale communale;14692A;PLACE DE L EGLISE;;;77510;BELLOT;77030;FRANCE;48.856498;3.31694;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14653D;843030;MALAUCENE AP;Agence postale communale;15937A;COURS DES ISNARDS;MAIRIE DE MALAUCENE;;84340;MALAUCENE;84069;FRANCE;44.1747;5.1325;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14654D;402420;LIT ET MIXE AP;Agence postale communale;07642A;RUE DE L HOTEL DE VILLE;116;;40170;LIT ET MIXE;40157;FRANCE;44.033435966;-1.257686996;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14655A;770370;BOIS LE ROI BP;Bureau de Poste;;6 AVENUE GALLIENI;;;77590;BOIS LE ROI;77037;FRANCE;48.474757;2.691807;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14656A;770420;BOISSY LE CHATEL BP;Bureau de Poste;;1 PLACE DE LA MAIRIE;;;77169;BOISSY LE CHATEL;77042;FRANCE;48.820951;3.136569;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14658A;770510;BRAY SUR SEINE BP;Bureau de Poste;;RUE DES TAUPINS;;;77480;BRAY SUR SEINE;77051;FRANCE;48.414323;3.239949;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14659A;770530;BRIE COMTE ROBERT;Bureau de Poste;;RUE PETIT DE BEAUVERGER;;;77170;BRIE COMTE ROBERT;77053;FRANCE;48.692945;2.608479;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14660A;770550;BROU SUR CHANTEREINE BP;Bureau de Poste;;RUE DES ROSES; ; ;77177;BROU SUR CHANTEREINE;77055;FRANCE;48.883241;2.630613;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14661A;770610;CANNES ECLUSES AP;Agence postale communale;14771A;67 RUE DESIRE THOISON;;;77130;CANNES ECLUSE;77061;FRANCE;48.36513;2.983206;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14662A;770670;CESSON BP;Bureau de Poste;;55 RUE DES JONQUILLES;;;77240;CESSON;77067;FRANCE;48.562222;2.601295;Géocodé au numéro;3631;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14662D;776130;JOUY SUR MORIN LPAC AP;Agence postale communale;14692A;11 PLACE DU BOULOI;MAIRIE;;77320;JOUY SUR MORIN;77240;FRANCE;48.79410492;3.2731494454;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14663A;770690;CHAILLY EN BIERE BP;Bureau de Poste;;12 ROUTE DE FONTAINEBLEAU;;;77930;CHAILLY EN BIERE;77069;FRANCE;48.465254;2.606943;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14663D;776140;ST THIBAULT LES VIGNES LPAC AP;Agence postale communale;14743A;2 RUE DE TORCY;;;77400;ST THIBAULT DES VIGNES;77438;FRANCE;48.868656458;2.6871651313;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14664A;770790;CHAMPAGNE SUR SEINE BP;Bureau de Poste;;1 PLACE PAUL JAY; ; ;77430;CHAMPAGNE SUR SEINE;77079;FRANCE;48.399472;2.798132;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14666A;770830;CHAMPS SUR MARNE BP;Bureau de Poste;;RUE DE CHELLES;;;77420;CHAMPS SUR MARNE;77083;FRANCE;48.853794;2.597419;Géocodé au numéro;3631;;Oui;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14667A;770840;CHANGIS SUR MARNE BP;Bureau de Poste;;28 RUE DU MONCEY;;;77660;CHANGIS SUR MARNE;77084;FRANCE;48.956949;3.020021;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14668A;770860;LA CHAPELLE GAUTHIER BP;Bureau de Poste;;52 BOULEVARD ROBERT;;;77720;LA CHAPELLE GAUTHIER;77086;FRANCE;48.549767;2.900663;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14669A;770880;LA CHAPELLE LA REINE BP;Bureau de Poste;;13 SQUARE SAINT LOUIS; ; ;77760;LA CHAPELLE LA REINE;77088;FRANCE;48.318871;2.5725;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14671D;232070;ST SULPICE LES CHAMPS LPA AP;Agence postale communale;03938A;5 rue de la poste;;;23480;ST SULPICE LES CHAMPS;23246;FRANCE;45.994611169;2.0232756224;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14672A;770990;CHATEAU LANDON BP;Bureau de Poste;;PLACE DE VERDUN; ; ;77570;CHATEAU LANDON;77099;FRANCE;48.148193;2.696697;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14673A;771000;LE CHATELET EN BRIE BP;Bureau de Poste;;20 RUE DU 26 AOUT 1944; ; ;77820;LE CHATELET EN BRIE;77100;FRANCE;48.505063;2.791543;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14673D;472120;COLAYRAC LPA AP;Agence postale communale;08769A;14 RUE DES ECOLES;MAIRIE;;47450;COLAYRAC ST CIRQ;47069;FRANCE;44.221768793;0.5542437302;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14674A;771010;CHATENAY SUR SEINE AP;Agence postale communale;14771A;PLACE DE LA MAIRIE;;;77126;CHATENAY SUR SEINE;77101;FRANCE;48.41912304;3.0961412599;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14675A;771020;CHAMPS SUR MARNE DESCARTES BP;Bureau de Poste;;5 AVENUE ANDRE MARIE AMPERE;;;77420;CHAMPS SUR MARNE;77083;FRANCE;48.844396;2.583237;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14678D;494950;LES ROSIERS SUR LOIRE AP;Agence postale communale;09168A;19 RUE NATIONALE;;LES ROSIERS SUR LOIRE;49350;GENNES VAL DE LOIRE;49261;FRANCE;47.3494;-0.2247;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14680A;771080;CHELLES PRINCIPAL;Bureau de Poste;;5 AVENUE DE LA RESISTANCE;;;77500;CHELLES;77108;FRANCE;48.878396;2.587446;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14680D;112490;FITOU AP;Agence postale communale;01607A;56 AVENUE DE LA MAIRIE;;;11510;FITOU;11144;FRANCE;42.893665513;2.9793817566;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14682D;361970;CHATEAUROUX SAINT DENIS AP;Agence postale communale;06713A;21 RUE 3E RGT D AVIATION DE CHASSE;;;36000;CHATEAUROUX;36044;FRANCE;46.8194;1.7066;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14683A;771140;CHEVRY COSSIGNY BP;Bureau de Poste;;36 BIS RUE CHARLES PATHE;;;77173;CHEVRY COSSIGNY;77114;FRANCE;48.724729;2.658533;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14685D;699070;VAUGNERAY AP;Agence postale communale;12943A;5 PLACE DU MARCHE;;;69670;VAUGNERAY;69255;FRANCE;45.737923554;4.6573689792;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14687A;771180;CLAYE SOUILLY BP;Bureau de Poste;;ALLEE ANDRE BENOIST;;;77410;CLAYE SOUILLY;77118;FRANCE;48.946177;2.68797;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14688A;771220;COMBS LA VILLE BP;Bureau de Poste;;8 RUE PABLO PICASSO;ZAC SUD;;77380;COMBS LA VILLE;77122;FRANCE;48.6588;2.564027;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14692A;771310;COULOMMIERS;Bureau de Poste;;QUAI DE L HOTEL DE VILLE;;;77120;COULOMMIERS;77131;FRANCE;48.812445;3.08398;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
