#Identifiant_A;Identifiant_R;Libellé_du_site;Caractéristique_du_site;Site_Acores_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;Changeur_de_monnaie;Distributeur_de_billets;Distributeur_Prêt_à_Poster;Affranchissement_Libre_Service;Dépôt_de_Chèque;Photocopieurs;Accessibilité_Automate_d_affranchissement_avec_prise_audio;Accessibilté_Distributeur_de_billets_avec_prise_audio;Accessibilité_Présence_d_un_panneau_prioritaire;Accessibilité_Borne_sonore_en_état_de_fonctionnement;Accessibilité_Espace_de_circulation_intérieur_suffisant_pour_PMR;Accessibilité_Présence_d_un_espace_confidentiel_accessible_PMR;Accessibilité_Présence_d_un_GAB_externe_accessible_PMR;Accessibilité_Présence_d_un_guichet_surbaissé_ou_d_un_écritoire;Accessibilité_Présence_d_une_bande_de_guidage_au_sol;Accessibilité_Amplificateur_de_son_pour_malentendant;Accessibilité_Escalier_ou_dénivelé_accessible_au_malvoyant;Accessibilité_Pick_up_accessible_PMR;Accessibilité_Accessibilité_externe_déclarée_conforme_par_propriétaire;Accessibilité_Accessible_aux_personnes_handicapées_moteur;Accessibilité_Accessibilité_interne_déclarée_conforme_par_propriétaire;Accessibilité_Accueil_en_langue_des_signes
02262A;142210;DEMOUVILLE BP;Bureau de Poste;;18 RUE DU CENTRE;;;14840;DEMOUVILLE;14221;FRANCE;49.178699;-0.268036;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02263A;142250;DIVES SUR MER BP;Bureau de Poste;;2 RUE DU GENERAL DE GAULLE; ; ;14160;DIVES SUR MER;14225;FRANCE;49.286779;-0.099169;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02264A;142280;DOUVRES LA DELIVRANDE BP;Bureau de Poste;;PLACE DES MARRONNIERS;;;14440;DOUVRES LA DELIVRANDE;14228;FRANCE;49.294992;-0.377395;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02265A;142290;DOZULE BP;Bureau de Poste;;57 GRANDE RUE; ; ;14430;DOZULE;14229;FRANCE;49.231812;-0.041938;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02266A;142530;ESTRY AP;Agence postale communale;02350A;LE BOURG; ;ESTRY;14410;VALDALLIERE;14726;FRANCE;48.897508361;-0.734754119;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02267A;142570;EVRECY BP;Bureau de Poste;;5 PLACE DU GENERAL DE GAULLE;;;14210;EVRECY;14257;FRANCE;49.099153;-0.502483;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02268A;142580;FALAISE;Bureau de Poste;;RUE DU CHAMP SAINT MICHEL;;;14700;FALAISE;14258;FRANCE;48.895673;-0.197508;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02270A;142650;FERVAQUES AP;Agence postale communale;02268A;180  Route de St Martin de la Lieue;MAIRIE;FERVAQUES;14140;LIVAROT PAYS D AUGE;14371;FRANCE;49.041395;0.254512;Géocodé au milieu de la rue;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02271A;142710;FLEURY SUR ORNE BP;Bureau de Poste;;5 RUE D IFS;;;14123;FLEURY SUR ORNE;14271;FRANCE;49.148394;-0.374608;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02272A;142770;FONTENAY LE MARMION AP;Agence postale communale;02382A;11 BIS RUE DE LA REPUBLIQUE; ; ;14320;FONTENAY LE MARMION;14277;FRANCE;49.093278864473;-0.352904427274;;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02273A;143010;GIBERVILLE BP;Bureau de Poste;;RUE DES ECOLES;;;14730;GIBERVILLE;14301;FRANCE;49.181196;-0.283425;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02274A;143040;GONNEVILLE SUR HONFLEUR AP;Agence postale communale;02261A;COUR DE LA MAIRIE;;;14600;GONNEVILLE SUR HONFLEUR;14304;FRANCE;49.383304504;0.2441453558;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02275A;143100;GRAINVILLE LANGANNERIE AP;Agence postale communale;02268A;2 RUE DE LAPFORD;;;14190;GRAINVILLE LANGANNERIE;14310;FRANCE;49.014274001;-0.267868741;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02279A;143270;HEROUVILLE SAINT CLAIR;Bureau de Poste;;2 PASSAGE DE LA POSTE;;;14200;HEROUVILLE ST CLAIR;14327;FRANCE;49.203695;-0.332039;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02280A;143280;HEROUVILLETTE AP;Agence postale communale;02236A;40 AVENUE DE CAEN;;;14850;HEROUVILLETTE;14328;FRANCE;49.2179;-0.2474;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02281A;143330;HONFLEUR BP;Bureau de Poste;;7 COURS ALBERT MANUEL;;;14600;HONFLEUR;14333;FRANCE;49.416405;0.23078;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02282A;143380;HOULGATE BP;Bureau de Poste;;2 BOULEVARD DES BELGES;;;14510;HOULGATE;14338;FRANCE;49.300792;-0.075575;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02283A;143410;IFS BP;Bureau de Poste;;1 AVENUE DE NORMANDIE;;;14123;IFS;14341;FRANCE;49.140192;-0.35476;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02284A;143420;ISIGNY SUR MER BP;Bureau de Poste;;7 RUE DES RELIGIEUSES; ; ;14230;ISIGNY SUR MER;14342;FRANCE;49.317804;-1.102305;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02286A;143470;DIALAN SUR CHAINE LPAI AP;Agence postale intercommunale;02350A;9 RUE DE LA MAIRIE;;JURQUES;14260;DIALAN SUR CHAINE;14347;FRANCE;49.017638657;-0.741461153;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02287A;143520;LANDELLES ET COUPIGNY AP;Agence postale communale;02368A;RUE DE LOUEST;;;14380;LANDELLES ET COUPIGNY;14352;FRANCE;48.887;-0.9966;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02290A;143650;LION SUR MER BP;Bureau de Poste;;PLACE GEORGES CLEMENCEAU;RESIDENCE LES BALNAIDES;;14780;LION SUR MER;14365;FRANCE;49.302438;-0.315271;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02291A;143660;LISIEUX PRINCIPAL;Bureau de Poste;;16 PLACE FRANCOIS MITTERRAND;;;14100;LISIEUX;14366;FRANCE;49.146397;0.225511;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02292A;143700;LE MOLAY LITTRY BP;Bureau de Poste;;PLACE DU DOCTEUR RENE VERNEY;;;14330;LE MOLAY LITTRY;14370;FRANCE;49.241581;-0.869419;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02295A;143840;LUC SUR MER BP;Bureau de Poste;;46 RUE DE LA MER;;;14530;LUC SUR MER;14384;FRANCE;49.318327;-0.355459;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02296A;143860;MAGNY LA CAMPAGNE AP;Agence postale communale;02268A;15 RUE DES ECOLES;;MAGNY LA CAMPAGNE;14270;MEZIDON VALLEE D AUGE;14431;FRANCE;49.049422874;-0.104706057;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02298A;143960;MALTOT AP;Agence postale communale;02237A;7 RUE DU DORSET;CENTRE ADMINISTRATIF;;14930;MALTOT;14396;FRANCE;49.128477;-0.422744;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02299A;143980;MANERBE AP;Agence postale communale;02291A;44 RUE DU PRINCE HANDJERI;Le Bourg;;14340;MANERBE;14398;FRANCE;49.184737;0.174865;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02300A;144070;MATHIEU BP;Bureau de Poste;;3 PLACE JEAN MAROT;;;14920;MATHIEU;14407;FRANCE;49.255422;-0.37293;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02301A;144080;MAY SUR ORNE BP;Bureau de Poste;;14 RUE DE LA TESTE DE BUCH; ;MAY SUR ORNE;14320;ST MARTIN DE MAY;14408;FRANCE;49.100664172539;-0.37173052148;;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02303A;144100;MERY CORBON AP;Agence postale communale;02236A;SQUARE DU CENTENAIRE DE LA POSTE;;MERY CORBON;14370;MERY BISSIERES EN AUGE;14410;FRANCE;49.134999;-0.082871;Géocodé au milieu de la rue;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02305A;144310;MEZIDON CANON BP;Bureau de Poste;;PLACE SALVADOR ALLENDE;;MEZIDON CANON;14270;MEZIDON VALLEE D AUGE;14431;FRANCE;49.0745;-0.077448;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02306A;144370;MONDEVILLE BP;Bureau de Poste;;9 RUE CHAPRON;;;14120;MONDEVILLE;14437;FRANCE;49.175997;-0.321897;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02307A;144420;MONTCHAMP AP;Agence postale communale;02368A;3 RUE DE LA LIBERTE;;MONTCHAMP;14350;VALDALLIERE;14726;FRANCE;48.920372;-0.765541;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02308A;144520;MORTEAUX COULIBOEUF AP;Agence postale communale;02268A;PLACE DE LA MAIRIE;;;14620;MORTEAUX COULIBOEUF;14452;FRANCE;48.92495728;-0.074459801;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02310A;144620;NEUILLY LA FORET AP;Agence postale communale;09206A;LE BOURG;AGENCE POSTALE;NEUILLY LA FORET;14230;ISIGNY SUR MER;14342;FRANCE;49.271766999;-1.10013344;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02311A;144750;VAL D ARRY LPAI AP;Agence postale intercommunale;02350A;7 PLACE DE L EGLISE;;NOYERS BOCAGE;14210;VAL D ARRY;14475;FRANCE;49.121663395191;-0.567622593147;;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02312A;144780;ORBEC BP;Bureau de Poste;;2 RUE DE VERDUN; ; ;14290;ORBEC;14478;FRANCE;49.02115;0.404703;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02313A;144880;OUISTREHAM BP;Bureau de Poste;;11 BIS ROUTE DE LION;;;14150;OUISTREHAM;14488;FRANCE;49.284299;-0.261323;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02314A;145080;LES MONTS D AUNAY LPAI AP;Agence postale intercommunale;02350A;LE BOURG;;LE PLESSIS GRIMOULT;14770;LES MONTS D AUNAY;14027;FRANCE;48.961341034;-0.609539724;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02316A;145140;PONT L EVEQUE BP;Bureau de Poste;;PLACE HENRI FEQUET; ; ;14130;PONT L EVEQUE;14514;FRANCE;49.286999;0.186816;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02317A;145150;PORT EN BESSIN HUPPAIN BP;Bureau de Poste;;8 RUE DU DOCTEUR CAMILLE HUET; ;;14520;PORT EN BESSIN HUPPAIN;14515;FRANCE;49.346606;-0.755068;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02318A;145160;POTIGNY BP;Bureau de Poste;;PLACE NICOLAS COPERNIC;CENTRE ADMINISTRATIF;;14420;POTIGNY;14516;FRANCE;48.969822;-0.241133;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02319A;145300;RANVILLE BP;Bureau de Poste;;PLACE DU GENERAL DE GALE;;;14860;RANVILLE;14530;FRANCE;49.232073;-0.257547;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02321A;145430;ROTS AP;Agence postale communale;02213A;SQUARE NEWTON SAINT CYRES;;;14980;ROTS;14543;FRANCE;49.204198;-0.476773;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02322A;145520;RYES AP;Agence postale communale;02213A;ROUTE D ARROMANCHES;Le bourg;;14400;RYES;14552;FRANCE;49.312913;-0.624259;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02323A;145560;SAINT ANDRE SUR ORNE BP;Bureau de Poste;;2 RUE DU CLOS DU HAMEL; ; ;14320;ST ANDRE SUR ORNE;14556;FRANCE;49.116622;-0.374965;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02325A;145660;SAINT CONTEST AP;Agence postale communale;02237A;LE BOURG;;;14280;ST CONTEST;14566;FRANCE;49.214014;-0.400309;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02326A;145780;SAINT GATIEN DES BOIS AP;Agence postale communale;02261A;18 RUE DES BRIOLEURS;;;14130;ST GATIEN DES BOIS;14578;FRANCE;49.348821587;0.1857787441;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02327A;145890;SAINT GERMAIN LE VASSON AP;Agence postale communale;02268A;37 AVENUE DES CLOUSTIERS;;;14190;ST GERMAIN LE VASSON;14589;FRANCE;48.998244297;-0.303678146;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02328A;145910;SAINTE HONORINE DES PERTES AP;Agence postale communale;02213A;8 RUE DE LA MAIRIE;MAIRIE;STE HONORINE DES PERTES;14520;AURE SUR MER;14591;FRANCE;49.346728;-0.808935;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02329A;145920;SAINTE HONORINE DU FAY AP;Agence postale communale;02350A;RUE DES ECOLES;;;14210;STE HONORINE DU FAY;14592;FRANCE;49.078206;-0.492489;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02330A;145970;SAINT JEAN LE BLANC AP;Agence postale communale;02350A;LIEU DIT LE BOURG;;ST JEAN LE BLANC;14770;TERRES DE DRUANCE;14357;FRANCE;48.935586046;-0.652768742;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02332A;146030;SAINT LAURENT DE CONDEL AP;Agence postale communale;02350A;29 RUE NATIONALE;;;14220;ST LAURENT DE CONDEL;14603;FRANCE;49.039609566;-0.417605354;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02334A;146140;SAINTE MARGUERITE D ELLE AP;Agence postale communale;02213A;RUE OCTAVE LEMENUEL;;;14330;STE MARGUERITE D ELLE;14614;FRANCE;49.207597;-1.020451;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02335A;146160;SAINTE MARGUERITE DE VIETTE AP;Agence postale communale;02268A;LE BOURG;;STE MARGUERITE DE VIETTE;14140;ST PIERRE EN AUGE;14654;FRANCE;49.012993;0.089077;Géocodé au centre de la commune;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02336A;146210;SAINT MARTIN DE BIENFAITE AP;Agence postale communale;02291A;3 PLACE KENNETH J WILLS;;;14290;ST MARTIN BIENFAITE CRESSONNIERE;14621;FRANCE;49.044253749;0.362104422;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02338A;146290;SOULEUVRE EN BOCAGE AP;Agence postale communale;02350A;6 Rue des Ecoles;;ST MARTIN DES BESACES;14350;SOULEUVRE EN BOCAGE;14061;FRANCE;49.012;-0.8452;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02339A;146430;SAINT PAUL DU VERNAY AP;Agence postale communale;02213A;23 RUE ETERNELLE;;;14490;ST PAUL DU VERNAY;14643;FRANCE;49.186335578;-0.761462416;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02341A;146540;SAINT PIERRE SUR DIVES BP;Bureau de Poste;;17 RUE DU BOSQ;;ST PIERRE SUR DIVES;14170;ST PIERRE EN AUGE;14654;FRANCE;49.019086;-0.030653;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02342A;146560;SAINT REMY SUR ORNE AP;Agence postale communale;02350A;PLACE DE LA MAIRIE;;;14570;ST REMY;14656;FRANCE;48.93948238;-0.503398591;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02343A;146580;SAINT SEVER CALVADOS BP;Bureau de Poste;;19 PLACE PRESIDENT ALBERT LEBRUN;;ST SEVER CALVADOS;14380;NOUES DE SIENNE;14658;FRANCE;48.840029;-1.046565;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02344A;146590;SAINT SYLVAIN AP;Agence postale communale;02268A;6 RUE DES CANADIENS;;;14190;ST SYLVAIN;14659;FRANCE;49.0566;-0.2191;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02349A;146850;THAON AP;Agence postale communale;02256A;8 RUE DE BARBIERES;AGENCE POSTALE COMMUNALE;;14610;THAON;14685;FRANCE;49.259117167;-0.449971152;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02350A;146890;THURY HARCOURT;Bureau de Poste;;1 RUE DE MILLEHARTS; ;THURY HARCOURT;14220;THURY HARCOURT LE HOM;14689;FRANCE;48.985614843268;-0.476390926604;;3631;;;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02352A;146990;TOUQUES BP;Bureau de Poste;;5 PLACE LEMERCIER;;;14800;TOUQUES;14699;FRANCE;49.343224;0.101631;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02353A;147000;TOUR EN BESSIN AP;Agence postale communale;02213A;90 ROUTE DE BAYEUX;;;14400;TOUR EN BESSIN;14700;FRANCE;49.296231832644;-0.780600309794;;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02354A;147040;LE TOURNEUR AP;Agence postale communale;02368A;LE BOURG;;LE TOURNEUR;14350;SOULEUVRE EN BOCAGE;14061;FRANCE;48.964283888;-0.822228593;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02356A;147120;TROARN BP;Bureau de Poste;;52 RUE DE ROUEN; ; ;14670;TROARN;14712;FRANCE;49.182372;-0.18239;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02359A;147200;USSY AP;Agence postale communale;02268A;RUE DES CANADIENS;32 BIS;;14420;USSY;14720;FRANCE;48.948303629;-0.283997243;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02360A;147240;LE HOME VARAVILLE AP;Agence postale communale;02236A;39 BIS AVENUE PRESIDENT RENE COTY;;;14390;VARAVILLE;14724;FRANCE;49.253704;-0.157734;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02361A;147260;VASSY BP;Bureau de Poste;;35 RUE JOSEPH REQUEUT;;VASSY;14410;VALDALLIERE;14726;FRANCE;48.852851;-0.673481;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02362A;147380;VERSON BP;Bureau de Poste;;12 BIS RUE DE HAMBUHREN; ;;14790;VERSON;14738;FRANCE;49.156296;-0.451403;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02363A;147390;VER SUR MER BP;Bureau de Poste;;1 RUE DE LA 8E ARMEE;;;14114;VER SUR MER;14739;FRANCE;49.335692;-0.526732;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02364A;147450;VIERVILLE SUR MER AP;Agence postale communale;02213A;PLACE DE LA MAIRIE;;;14710;VIERVILLE SUR MER;14745;FRANCE;49.374144;-0.904313;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02365A;147520;VILLERS BOCAGE BP;Bureau de Poste;;PLACE DU MARECHAL LECLERC;CENTRE ADMINISTRATIF;;14310;VILLERS BOCAGE;14752;FRANCE;49.080052;-0.655687;Géocodé au numéro;3631;;;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02366A;147540;VILLERS SUR MER BP;Bureau de Poste;;RUE DE STRASBOURG;;;14640;VILLERS SUR MER;14754;FRANCE;49.321879;-0.004574;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02367A;147550;VILLERVILLE AP;Agence postale communale;02261A;ALLEE HAUSEN;rez de jardn de la mairie;;14113;VILLERVILLE;14755;FRANCE;49.399391;0.127396;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02368A;147620;VIRE;Bureau de Poste;;17 RUE AUX FEVRES; ;VIRE;14500;VIRE NORMANDIE;14762;FRANCE;48.838280826553;-0.888366793629;;3631;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
02369A;147640;PONT D OUILLY BP;Bureau de Poste;;PLACE DU MARCHE;LES HALLES;;14690;PONT D OUILLY;14764;FRANCE;48.874071;-0.407913;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
